Ligand receptor pair,Source,PMID support,Ligand gene symbol,Ligand HGNC ID,Ligand location,Receptor gene symbol,Receptor HGNC ID,HGNC L R,secondary source?
ADAM15 ITGAV,Ramilowski_2015_Literature_supported,"9914169,",ADAM15,HGNC:193,plasma membrane,ITGAV,HGNC:6150,HGNC:193 HGNC:6150,
ADAM15 ITGB1,Ramilowski_2015_Literature_supported,"9914169, 10944520,",ADAM15,HGNC:193,plasma membrane,ITGB1,HGNC:6153,HGNC:193 HGNC:6153,
ADAM15 ITGB3,Ramilowski_2015_Literature_supported,"9516430,",ADAM15,HGNC:193,plasma membrane,ITGB3,HGNC:6156,HGNC:193 HGNC:6156,
ADAM17 ITGA5,Ramilowski_2015_Literature_supported,"14970227,",ADAM17,HGNC:195,plasma membrane,ITGA5,HGNC:6141,HGNC:195 HGNC:6141,
ADAM17 ITGB1,Ramilowski_2015_Literature_supported,"14970227,",ADAM17,HGNC:195,plasma membrane,ITGB1,HGNC:6153,HGNC:195 HGNC:6153,
ADAM17 NOTCH1,Ramilowski_2015_Literature_supported,"10882063, 9620803,",ADAM17,HGNC:195,plasma membrane,NOTCH1,HGNC:7881,HGNC:195 HGNC:7881,
ADAM2 ITGA6,Ramilowski_2015_Literature_supported,"9889149,",ADAM2,HGNC:198,plasma membrane,ITGA6,HGNC:6142,HGNC:198 HGNC:6142,
ADAM2 ITGA9,Ramilowski_2015_Literature_supported,"21060781,",ADAM2,HGNC:198,plasma membrane,ITGA9,HGNC:6145,HGNC:198 HGNC:6145,
ADAM2 ITGB1,Ramilowski_2015_Literature_supported,"9889149,",ADAM2,HGNC:198,plasma membrane,ITGB1,HGNC:6153,HGNC:198 HGNC:6153,
ADAM2 ITGB7,Ramilowski_2015_Literature_supported,"21060781,",ADAM2,HGNC:198,plasma membrane,ITGB7,HGNC:6162,HGNC:198 HGNC:6162,
ADAM23 ITGA4,Hou et al. 2020 (this publication),"28913673,",ADAM23,HGNC:202,plasma membrane,ITGA4,HGNC:6140,HGNC:202 HGNC:6140,
ADAM23 ITGA5,Ramilowski_2015_Literature_supported,"10749942,",ADAM23,HGNC:202,plasma membrane,ITGA5,HGNC:6141,HGNC:202 HGNC:6141,
ADAM23 ITGB3,Ramilowski_2015_Literature_supported,"10749942,",ADAM23,HGNC:202,plasma membrane,ITGB3,HGNC:6156,HGNC:202 HGNC:6156,
ADAM28 ITGA4,Ramilowski_2015_Literature_supported,"11724793,",ADAM28,HGNC:206,plasma membrane,ITGA4,HGNC:6140,HGNC:206 HGNC:6140,
ADAM29 ITGA4,Hou et al. 2020 (this publication),"28913673,",ADAM29,HGNC:207,plasma membrane,ITGA4,HGNC:6140,HGNC:207 HGNC:6140,
ADAM7 ITGA4,Hou et al. 2020 (this publication),"15504110,",ADAM7,HGNC:214,plasma membrane,ITGA4,HGNC:6140,HGNC:214 HGNC:6140,
ADAM7 ITGB7,Hou et al. 2020 (this publication),"15504110,",ADAM7,HGNC:214,plasma membrane,ITGB7,HGNC:6162,HGNC:214 HGNC:6162,
ADAM9 ITGA3,Ramilowski_2015_Literature_supported,"15361064,",ADAM9,HGNC:216,plasma membrane,ITGA3,HGNC:6139,HGNC:216 HGNC:6139,
ADAM9 ITGA6,Ramilowski_2015_Literature_supported,"10825303,15361064,",ADAM9,HGNC:216,plasma membrane,ITGA6,HGNC:6142,HGNC:216 HGNC:6142,
ADAM9 ITGAV,Ramilowski_2015_Literature_supported,"11162558,15361064,",ADAM9,HGNC:216,plasma membrane,ITGAV,HGNC:6150,HGNC:216 HGNC:6150,
ADAM9 ITGB1,Ramilowski_2015_Literature_supported,"10825303,",ADAM9,HGNC:216,plasma membrane,ITGB1,HGNC:6153,HGNC:216 HGNC:6153,
ADAM9 ITGB5,Ramilowski_2015_Literature_supported,"11162558,",ADAM9,HGNC:216,plasma membrane,ITGB5,HGNC:6160,HGNC:216 HGNC:6160,
ADCYAP1 ADCYAP1R1,Ramilowski_2015_Literature_supported,"10100920, 8703026,10583729, 16930633, 11931347,10583729, 8253796,",ADCYAP1,HGNC:241,secreted,ADCYAP1R1,HGNC:242,HGNC:241 HGNC:242,CellphoneDB
ADCYAP1 SCTR,Ramilowski_2015_Literature_supported,"1335692,",ADCYAP1,HGNC:241,secreted,SCTR,HGNC:10608,HGNC:241 HGNC:10608,CellphoneDB
ADCYAP1 VIPR1,Ramilowski_2015_Literature_supported,"11897681,9928018, 11931347, 16930633, 8791009,12429744,",ADCYAP1,HGNC:241,secreted,VIPR1,HGNC:12694,HGNC:241 HGNC:12694,
ADCYAP1 VIPR2,Ramilowski_2015_Literature_supported,"16930633, 11978642, 9928018, 11931347,8146174,",ADCYAP1,HGNC:241,secreted,VIPR2,HGNC:12695,HGNC:241 HGNC:12695,
ADGRB1 RTN4R,Hou et al. 2020 (this publication),"30477585,",ADGRB1,HGNC:943,plasma membrane,RTN4R,HGNC:18601,HGNC:943 HGNC:18601,
ADGRB1 RTN4RL1,Hou et al. 2020 (this publication),"30477585,",ADGRB1,HGNC:943,plasma membrane,RTN4RL1,HGNC:21329,HGNC:943 HGNC:21329,
ADGRB1 RTN4RL2,Hou et al. 2020 (this publication),"30477585,",ADGRB1,HGNC:943,plasma membrane,RTN4RL2,HGNC:23053,HGNC:943 HGNC:23053,
ADGRE5 CD55,Baccin et al. 2020 (RNA-Magnet),"23447688,",ADGRE5,HGNC:1711,plasma membrane,CD55,HGNC:2665,HGNC:1711 HGNC:2665,
ADIPOQ ADIPOR1,Ramilowski_2015_Literature_supported,"12802337,",ADIPOQ,HGNC:13633,secreted,ADIPOR1,HGNC:24040,HGNC:13633 HGNC:24040,
ADIPOQ ADIPOR2,Ramilowski_2015_Literature_supported,"12802337,12802337,",ADIPOQ,HGNC:13633,secreted,ADIPOR2,HGNC:24041,HGNC:13633 HGNC:24041,
ADM CALCR,Ramilowski_2015_Literature_supported,"15692146, 12565884,",ADM,HGNC:259,secreted,CALCR,HGNC:1440,HGNC:259 HGNC:1440,CellphoneDB
ADM CALCRL,Ramilowski_2015_Literature_supported,"9620797,9620797,",ADM,HGNC:259,secreted,CALCRL,HGNC:16709,HGNC:259 HGNC:16709,
ADM MRGPRX2,Ramilowski_2015_Literature_supported,"16111673,15823563,",ADM,HGNC:259,secreted,MRGPRX2,HGNC:17983,HGNC:259 HGNC:17983,CellphoneDB
ADM RAMP2,Ramilowski_2015_Literature_supported,"9620797,",ADM,HGNC:259,secreted,RAMP2,HGNC:9844,HGNC:259 HGNC:9844,
ADM RAMP3,Hou et al. 2020 (this publication),"30139742,",ADM,HGNC:259,secreted,RAMP3,HGNC:9845,HGNC:259 HGNC:9845,
ADM2 CALCR,Ramilowski_2015_Literature_supported,"15692146,",ADM2,HGNC:28898,secreted,CALCR,HGNC:1440,HGNC:28898 HGNC:1440,CellphoneDB
ADM2 CALCRL,Ramilowski_2015_Literature_supported,"14615490,",ADM2,HGNC:28898,secreted,CALCRL,HGNC:16709,HGNC:28898 HGNC:16709,
ADM2 RAMP1,Ramilowski_2015_Literature_supported,"12684503,",ADM2,HGNC:28898,secreted,RAMP1,HGNC:9843,HGNC:28898 HGNC:9843,
ADM2 RAMP2,Hou et al. 2020 (this publication),"30139743,",ADM2,HGNC:28898,secreted,RAMP2,HGNC:9844,HGNC:28898 HGNC:9844,
ADM2 RAMP3,Hou et al. 2020 (this publication),"30139742, ",ADM2,HGNC:28898,secreted,RAMP3,HGNC:9845,HGNC:28898 HGNC:9845,
AFDN EPHA7,Ramilowski_2015_Literature_supported,"9707552,",AFDN,HGNC:7137,plasma membrane,EPHA7,HGNC:3390,HGNC:7137 HGNC:3390,
AFDN EPHB2,Ramilowski_2015_Literature_supported,"9707552,",AFDN,HGNC:7137,plasma membrane,EPHB2,HGNC:3393,HGNC:7137 HGNC:3393,
AFDN EPHB3,Ramilowski_2015_Literature_supported,"9707552,",AFDN,HGNC:7137,plasma membrane,EPHB3,HGNC:3394,HGNC:7137 HGNC:3394,
AFDN EPHB6,Ramilowski_2015_Literature_supported,"9707552,",AFDN,HGNC:7137,plasma membrane,EPHB6,HGNC:3396,HGNC:7137 HGNC:3396,
AFDN F11R,Ramilowski_2015_Literature_supported,"10856295,",AFDN,HGNC:7137,plasma membrane,F11R,HGNC:14685,HGNC:7137 HGNC:14685,
AFDN NECTIN1,Ramilowski_2015_Literature_supported,"10225955, 10617658,",AFDN,HGNC:7137,plasma membrane,NECTIN1,HGNC:9706,HGNC:7137 HGNC:9706,
AFDN NECTIN2,Ramilowski_2015_Literature_supported,"10225955,",AFDN,HGNC:7137,plasma membrane,NECTIN2,HGNC:9707,HGNC:7137 HGNC:9707,
AFDN NECTIN3,Ramilowski_2015_Literature_supported,"10744716, 11024295,",AFDN,HGNC:7137,plasma membrane,NECTIN3,HGNC:17664,HGNC:7137 HGNC:17664,
AFDN NECTIN4,Ramilowski_2015_Literature_supported,"11544254,",AFDN,HGNC:7137,plasma membrane,NECTIN4,HGNC:19688,HGNC:7137 HGNC:19688,
AGRN ATP1A3,Ramilowski_2015_Literature_supported,"16630822,",AGRN,HGNC:329,secreted,ATP1A3,HGNC:801,HGNC:329 HGNC:801,
AGRN DAG1,Hou et al. 2020 (this publication),"7531888,",AGRN,HGNC:329,secreted,DAG1,HGNC:2666,HGNC:329 HGNC:2666,
AGRN LRP4,Ramilowski_2015_Literature_supported,"18848351,",AGRN,HGNC:329,secreted,LRP4,HGNC:6696,HGNC:329 HGNC:6696,
AGRN MUSK,Ramilowski_2015_Literature_supported,"8653787,",AGRN,HGNC:329,secreted,MUSK,HGNC:7525,HGNC:329 HGNC:7525,
AGRP MC3R,Ramilowski_2015_Literature_supported,"9311920,9819197,9893984, 11747427,",AGRP,HGNC:330,secreted,MC3R,HGNC:6931,HGNC:330 HGNC:6931,CellphoneDB
AGRP MC4R,Ramilowski_2015_Literature_supported,"9311920,9299416,10318826, 11747427, 12815165,",AGRP,HGNC:330,secreted,MC4R,HGNC:6932,HGNC:330 HGNC:6932,CellphoneDB
AGRP MC5R,Ramilowski_2015_Literature_supported,"9892020,9892020,",AGRP,HGNC:330,secreted,MC5R,HGNC:6933,HGNC:330 HGNC:6933,CellphoneDB
AGRP SDC3,Ramilowski_2015_Literature_supported,"11461706,",AGRP,HGNC:330,secreted,SDC3,HGNC:10660,HGNC:330 HGNC:10660,
AGT AGTR1,Ramilowski_2015_Literature_supported,"10993080, 15930094,21464395, 10193788, , 12006574,15930094,",AGT,HGNC:333,secreted,AGTR1,HGNC:336,HGNC:333 HGNC:336,CellphoneDB
AGT AGTR2,Ramilowski_2015_Literature_supported,"8315512, 8185599,17138938, 21464395, 2775266, 7850406, 8242249,8185599,",AGT,HGNC:333,secreted,AGTR2,HGNC:338,HGNC:333 HGNC:338,CellphoneDB
AGT LRP2,Ramilowski_2015_Literature_supported,"15467006,",AGT,HGNC:333,secreted,LRP2,HGNC:6694,HGNC:333 HGNC:6694,
AGT MAS1,Ramilowski_2015_Literature_supported,"12829792,12829792,",AGT,HGNC:333,secreted,MAS1,HGNC:6899,HGNC:333 HGNC:6899,
AHSG INSR,Ramilowski_2015_Literature_supported,"7906861,",AHSG,HGNC:349,secreted,INSR,HGNC:6091,HGNC:349 HGNC:6091,
ALB LRP2,Ramilowski_2015_Literature_supported,"11158855, 8898021,",ALB,HGNC:399,secreted,LRP2,HGNC:6694,HGNC:399 HGNC:6694,
ALCAM CD6,Efremova et al. 2020 (CellphoneDB),"23602662,",ALCAM,HGNC:400,plasma membrane,CD6,HGNC:1691,HGNC:400 HGNC:1691,
ALCAM CHL1,Hou et al. 2020 (this publication),"31300520,",ALCAM,HGNC:400,plasma membrane,CHL1,HGNC:1939,HGNC:400 HGNC:1939,
ALCAM L1CAM,Hou et al. 2020 (this publication),"31300520,",ALCAM,HGNC:400,plasma membrane,L1CAM,HGNC:6470,HGNC:400 HGNC:6470,
ALCAM NRP1,Hou et al. 2020 (this publication),"31300520,",ALCAM,HGNC:400,plasma membrane,NRP1,HGNC:8004,HGNC:400 HGNC:8004,
ALKAL1 ALK,Hou et al. 2020 (this publication),"26630010,",ALKAL1,HGNC:33775,secreted,ALK,HGNC:427,HGNC:33775 HGNC:427,
ALKAL1 LTK,Hou et al. 2020 (this publication),"26630010,",ALKAL1,HGNC:33775,secreted,LTK,HGNC:6721,HGNC:33775 HGNC:6721,
ALKAL2 ALK,Hou et al. 2020 (this publication),"26630010,",ALKAL2,HGNC:27683,secreted,ALK,HGNC:427,HGNC:27683 HGNC:427,
ALKAL2 LTK,Hou et al. 2020 (this publication),"26630010,",ALKAL2,HGNC:27683,secreted,LTK,HGNC:6721,HGNC:27683 HGNC:6721,
AMBN CD63,Hou et al. 2020 (this publication),"17708745, 21149578,",AMBN,HGNC:452,secreted,CD63,HGNC:1692,HGNC:452 HGNC:1692,
AMELX CD63,Hou et al. 2020 (this publication),"17708745,",AMELX,HGNC:461,secreted,CD63,HGNC:1692,HGNC:461 HGNC:1692,
AMELX LAMP1,Ramilowski_2015_Literature_supported,"20382373,",AMELX,HGNC:461,secreted,LAMP1,HGNC:6499,HGNC:461 HGNC:6499,
AMELX LAMP2,Hou et al. 2020 (this publication),"17708745,",AMELX,HGNC:461,secreted,LAMP2,HGNC:6501,HGNC:461 HGNC:6501,
AMELY CD63,Hou et al. 2020 (this publication),"17708745,",AMELY,HGNC:462,secreted,CD63,HGNC:1692,HGNC:462 HGNC:1692,
AMELY LAMP1,Ramilowski_2015_Literature_supported,"20382373,",AMELY,HGNC:462,secreted,LAMP1,HGNC:6499,HGNC:462 HGNC:6499,
AMELY LAMP2,Hou et al. 2020 (this publication),"17708745,",AMELY,HGNC:462,secreted,LAMP2,HGNC:6501,HGNC:462 HGNC:6501,
AMH ACVR1,Ramilowski_2015_Literature_supported,"14656470,",AMH,HGNC:464,secreted,ACVR1,HGNC:171,HGNC:464 HGNC:171,
AMH AMHR2,Ramilowski_2015_Literature_supported,"7997230,8889695,",AMH,HGNC:464,secreted,AMHR2,HGNC:465,HGNC:464 HGNC:465,
AMH EGFR,Ramilowski_2015_Literature_supported,"8596488,",AMH,HGNC:464,secreted,EGFR,HGNC:3236,HGNC:464 HGNC:3236,
ANG PLXNB2,Hou et al. 2020 (this publication),"29100074,",ANG,HGNC:483,secreted,PLXNB2,HGNC:9104,HGNC:483 HGNC:9104,
ANGPT1 ITGA5,Ramilowski_2015_Literature_supported,"15781448,",ANGPT1,HGNC:484,secreted,ITGA5,HGNC:6141,HGNC:484 HGNC:6141,
ANGPT1 ITGB1,Hou et al. 2020 (this publication),"19379779, 15690488,",ANGPT1,HGNC:484,secreted,ITGB1,HGNC:6153,HGNC:484 HGNC:6153,Ramilowski_2015_Putative
ANGPT1 TEK,Ramilowski_2015_Literature_supported,"8980223,9723709, 8980223, 12427764, 8980224,",ANGPT1,HGNC:484,secreted,TEK,HGNC:11724,HGNC:484 HGNC:11724,CellphoneDB
ANGPT1 TIE1,Ramilowski_2015_Literature_supported,"11172728,",ANGPT1,HGNC:484,secreted,TIE1,HGNC:11809,HGNC:484 HGNC:11809,
ANGPT2 TEK,Ramilowski_2015_Literature_supported,"9204896,9723709,",ANGPT2,HGNC:485,secreted,TEK,HGNC:11724,HGNC:485 HGNC:11724,CellphoneDB
ANGPT2 TIE1,Baccin et al. 2020 (RNA-Magnet),"27548530,",ANGPT2,HGNC:485,secreted,TIE1,HGNC:11809,HGNC:485 HGNC:11809,
ANGPT4 TEK,Ramilowski_2015_Literature_supported,"10051567, 15284220,",ANGPT4,HGNC:487,secreted,TEK,HGNC:11724,HGNC:487 HGNC:11724,CellphoneDB
ANGPTL1 TEK,Ramilowski_2015_Literature_supported,"10051567,",ANGPTL1,HGNC:489,secreted,TEK,HGNC:11724,HGNC:489 HGNC:11724,
ANGPTL2 ITGA5,Hou et al. 2020 (this publication),"29074299,",ANGPTL2,HGNC:490,secreted,ITGA5,HGNC:6141,HGNC:490 HGNC:6141,
ANGPTL2 ITGB1,Hou et al. 2020 (this publication),"29074299,",ANGPTL2,HGNC:490,secreted,ITGB1,HGNC:6153,HGNC:490 HGNC:6153,
ANGPTL2 LILRB2,Hou et al. 2020 (this publication),"26056041,",ANGPTL2,HGNC:490,secreted,LILRB2,HGNC:6606,HGNC:490 HGNC:6606,
ANGPTL3 ITGA5,Ramilowski_2015_Literature_supported,"11877390,",ANGPTL3,HGNC:491,secreted,ITGA5,HGNC:6141,HGNC:491 HGNC:6141,
ANGPTL3 ITGAV,Ramilowski_2015_Literature_supported,"11877390,",ANGPTL3,HGNC:491,secreted,ITGAV,HGNC:6150,HGNC:491 HGNC:6150,
ANGPTL3 ITGB3,Ramilowski_2015_Literature_supported,"11877390,",ANGPTL3,HGNC:491,secreted,ITGB3,HGNC:6156,HGNC:491 HGNC:6156,
ANOS1 FGFR1,Ramilowski_2015_Literature_supported,"19696444,",ANOS1,HGNC:6211,secreted,FGFR1,HGNC:3688,HGNC:6211 HGNC:3688,
ANOS1 SDC2,Ramilowski_2015_Literature_supported,"8832397,",ANOS1,HGNC:6211,secreted,SDC2,HGNC:10659,HGNC:6211 HGNC:10659,
ANPEP SELE,Hou et al. 2020 (this publication),"29777742,",ANPEP,HGNC:500,plasma membrane,SELE,HGNC:10718,HGNC:500 HGNC:10718,
ANXA1 DYSF,Ramilowski_2015_Literature_supported,"14506282,",ANXA1,HGNC:533,plasma membrane; secreted,DYSF,HGNC:3097,HGNC:533 HGNC:3097,
ANXA1 EGFR,Ramilowski_2015_Literature_supported,"15581623,",ANXA1,HGNC:533,plasma membrane; secreted,EGFR,HGNC:3236,HGNC:533 HGNC:3236,
ANXA1 FPR1,Ramilowski_2015_Literature_supported,"10882119,10882119, 12560218,10882119,",ANXA1,HGNC:533,plasma membrane; secreted,FPR1,HGNC:3826,HGNC:533 HGNC:3826,CellphoneDB
ANXA1 FPR2,Ramilowski_2015_Literature_supported,"12368905, 10882119, 12560218, 16278303,",ANXA1,HGNC:533,plasma membrane; secreted,FPR2,HGNC:3827,HGNC:533 HGNC:3827,CellphoneDB
ANXA1 FPR3,Ramilowski_2015_Literature_supported,"15187149,",ANXA1,HGNC:533,plasma membrane; secreted,FPR3,HGNC:3828,HGNC:533 HGNC:3828,CellphoneDB
ANXA2 ROBO4,Hou et al. 2020 (this publication),"29786451,",ANXA2,HGNC:537,plasma membrane; secreted,ROBO4,HGNC:17985,HGNC:537 HGNC:17985,
ANXA2 TLR2,Hou et al. 2020 (this publication),"26885373,",ANXA2,HGNC:537,plasma membrane; secreted,TLR2,HGNC:11848,HGNC:537 HGNC:11848,
APELA APLNR,Efremova et al. 2020 (CellphoneDB),"25639753, 28137936, 26611206",APELA,HGNC:48925,secreted,APLNR,HGNC:339,HGNC:48925 HGNC:339,
APLN APLNR,Ramilowski_2015_Literature_supported,"10617103, 9792798,12603839, 15341513, 10777510, 12939143, 11336787,12603839,",APLN,HGNC:16665,secreted,APLNR,HGNC:339,HGNC:16665 HGNC:339,CellphoneDB
APOB ENO1,Hou et al. 2020 (this publication),"29997113,",APOB,HGNC:603,secreted,ENO1,HGNC:3350,HGNC:603 HGNC:3350,
APOB LDLR,Ramilowski_2015_Literature_supported,"11327878,12031600,",APOB,HGNC:603,secreted,LDLR,HGNC:6547,HGNC:603 HGNC:6547,
APOB LRP2,Ramilowski_2015_Literature_supported,"10330424,",APOB,HGNC:603,secreted,LRP2,HGNC:6694,HGNC:603 HGNC:6694,
APOB LSR,Ramilowski_2015_Literature_supported,"7615497,",APOB,HGNC:603,secreted,LSR,HGNC:29572,HGNC:603 HGNC:29572,
APOB OLR1,Ramilowski_2015_Literature_supported,"9763524,",APOB,HGNC:603,secreted,OLR1,HGNC:8133,HGNC:603 HGNC:8133,
APOD LEPR,Ramilowski_2015_Literature_supported,"11344130,",APOD,HGNC:612,secreted,LEPR,HGNC:6554,HGNC:612 HGNC:6554,
APOE LDLR,Ramilowski_2015_Literature_supported,"11327878,12036962,",APOE,HGNC:613,secreted,LDLR,HGNC:6547,HGNC:613 HGNC:6547,
APOE LRP1,Ramilowski_2015_Literature_supported,"2779654, 22622580,",APOE,HGNC:613,secreted,LRP1,HGNC:6692,HGNC:613 HGNC:6692,
APOE LRP2,Ramilowski_2015_Literature_supported,"1464627,",APOE,HGNC:613,secreted,LRP2,HGNC:6694,HGNC:613 HGNC:6694,
APOE LRP5,Ramilowski_2015_Literature_supported,"9832610),",APOE,HGNC:613,secreted,LRP5,HGNC:6697,HGNC:613 HGNC:6697,
APOE LRP8,Ramilowski_2015_Literature_supported,"12950167,12167620, 12950167,",APOE,HGNC:613,secreted,LRP8,HGNC:6700,HGNC:613 HGNC:6700,
APOE SCARB1,Ramilowski_2015_Literature_supported,"12138091,",APOE,HGNC:613,secreted,SCARB1,HGNC:1664,HGNC:613 HGNC:1664,
APOE SORL1,Ramilowski_2015_Literature_supported,"11294867,",APOE,HGNC:613,secreted,SORL1,HGNC:11185,HGNC:613 HGNC:11185,
APOE VLDLR,Ramilowski_2015_Literature_supported,"12870663,12167620,",APOE,HGNC:613,secreted,VLDLR,HGNC:12698,HGNC:613 HGNC:12698,
APP CAV1,Ramilowski_2015_Literature_supported,"9553108,",APP,HGNC:620,plasma membrane; secreted,CAV1,HGNC:1527,HGNC:620 HGNC:1527,
APP CD74,Ramilowski_2015_Literature_supported,"19849849,",APP,HGNC:620,plasma membrane; secreted,CD74,HGNC:1697,HGNC:620 HGNC:1697,CellphoneDB
APP FPR2,Ramilowski_2015_Literature_supported,"11316806, 11160457,",APP,HGNC:620,plasma membrane; secreted,FPR2,HGNC:3827,HGNC:620 HGNC:3827,CellphoneDB
APP GPC1,Ramilowski_2015_Literature_supported,"15084524,",APP,HGNC:620,plasma membrane; secreted,GPC1,HGNC:4449,HGNC:620 HGNC:4449,
APP LRP1,Ramilowski_2015_Literature_supported,"12212791, 7543026,",APP,HGNC:620,plasma membrane; secreted,LRP1,HGNC:6692,HGNC:620 HGNC:6692,
APP NCSTN,Ramilowski_2015_Literature_supported,"10993067,",APP,HGNC:620,plasma membrane; secreted,NCSTN,HGNC:17091,HGNC:620 HGNC:17091,
APP TNFRSF21,Ramilowski_2015_Literature_supported,"19225519,",APP,HGNC:620,plasma membrane; secreted,TNFRSF21,HGNC:13469,HGNC:620 HGNC:13469,
AREG EGFR,Ramilowski_2015_Literature_supported,"2466334,10085134,",AREG,HGNC:651,secreted,EGFR,HGNC:3236,HGNC:651 HGNC:3236,CellphoneDB
AREG ERBB3,Ramilowski_2015_Literature_supported,"8702723,",AREG,HGNC:651,secreted,ERBB3,HGNC:3431,HGNC:651 HGNC:3431,
ARF1 CHRM3,Ramilowski_2015_Literature_supported,"12799371,",ARF1,HGNC:652,plasma membrane,CHRM3,HGNC:1952,HGNC:652 HGNC:1952,
ARF1 INSR,Ramilowski_2015_Literature_supported,"9197239,",ARF1,HGNC:652,plasma membrane,INSR,HGNC:6091,HGNC:652 HGNC:6091,
ARF1 PLD2,Ramilowski_2015_Literature_supported,"12519790, 10801846,",ARF1,HGNC:652,plasma membrane,PLD2,HGNC:9068,HGNC:652 HGNC:9068,
ARTN GFRA1,Ramilowski_2015_Literature_supported,"9883723,",ARTN,HGNC:727,secreted,GFRA1,HGNC:4243,HGNC:727 HGNC:4243,
ARTN GFRA3,Ramilowski_2015_Literature_supported,"9883723,9883723,",ARTN,HGNC:727,secreted,GFRA3,HGNC:4245,HGNC:727 HGNC:4245,
ARTN RET,Ramilowski_2015_Literature_supported,"9883723,",ARTN,HGNC:727,secreted,RET,HGNC:9967,HGNC:727 HGNC:9967,
ASIP ATRN,Ramilowski_2015_Literature_supported,"11137996,",ASIP,HGNC:745,secreted,ATRN,HGNC:885,HGNC:745 HGNC:885,
ASIP F11R,Ramilowski_2015_Literature_supported,"11447115,",ASIP,HGNC:745,secreted,F11R,HGNC:14685,HGNC:745 HGNC:14685,
ASIP MC1R,Ramilowski_2015_Literature_supported,"12851328,9058374,",ASIP,HGNC:745,secreted,MC1R,HGNC:6929,HGNC:745 HGNC:6929,
ASIP MC2R,Ramilowski_2015_Literature_supported,"9058374,",ASIP,HGNC:745,secreted,MC2R,HGNC:6930,HGNC:745 HGNC:6930,
ASIP MC3R,Ramilowski_2015_Literature_supported,"9058374,",ASIP,HGNC:745,secreted,MC3R,HGNC:6931,HGNC:745 HGNC:6931,
ASIP MC4R,Ramilowski_2015_Literature_supported,"9058374,",ASIP,HGNC:745,secreted,MC4R,HGNC:6932,HGNC:745 HGNC:6932,
ASIP MC5R,Ramilowski_2015_Literature_supported,"9058374,",ASIP,HGNC:745,secreted,MC5R,HGNC:6933,HGNC:745 HGNC:6933,
AVP AVPR1A,Ramilowski_2015_Literature_supported,"1560825, 8106369,8106369, 9884074, 9334232, 10780976, 9322919, 12446593, 9459574, 15084136, 9264324, 10866830, 9864265, 10519430,8106369,",AVP,HGNC:894,secreted,AVPR1A,HGNC:895,HGNC:894 HGNC:895,CellphoneDB_flipped
AVP AVPR1B,Ramilowski_2015_Literature_supported,"7929452,9884074, 10780976, 9322919, 12446593, 9459574, 15084136, 9264324, 9864265, 10519430, 16158071,7929452,",AVP,HGNC:894,secreted,AVPR1B,HGNC:896,HGNC:894 HGNC:896,
AVP AVPR2,Ramilowski_2015_Literature_supported,"11857925,9884074, 10780976, 9322919, 12446593, 9459574, 15084136, 9264324, 9864265, 10519430, 7774575, 11012895,11857925,",AVP,HGNC:894,secreted,AVPR2,HGNC:897,HGNC:894 HGNC:897,
